Team,Opponent,Win_Percentage,Wins,Losses,Ties,Total_Games
Texas A&M,Ole Miss,60.0,9,6,0,15
Texas A&M,South Carolina,83.33,10,2,0,12
Texas A&M,Tennessee,40.0,2,3,0,5
Texas A&M,Texas A&M,,0,0,0,0
Texas A&M,Vanderbilt,100.0,3,0,0,3
Vanderbilt,Alabama,22.89,19,64,4,87
Vanderbilt,Arkansas,30.0,3,7,0,10
Vanderbilt,Auburn,48.78,20,21,1,42
Vanderbilt,Florida,20.0,11,44,2,57
Vanderbilt,Georgia,22.08,17,60,2,79
Vanderbilt,Kentucky,46.15,42,49,4,95
Vanderbilt,LSU,24.24,8,25,1,34
Vanderbilt,Mississippi State,31.82,7,15,2,24
Vanderbilt,Missouri,33.33,5,10,1,16
Vanderbilt,Ole Miss,39.78,37,56,2,95
Vanderbilt,South Carolina,14.29,5,30,0,35
Vanderbilt,Tennessee,27.68,31,81,4,116
Vanderbilt,Texas A&M,0.0,0,3,0,3
Vanderbilt,Vanderbilt,,0,0,0,0
